date,placement_id,deal_id,device,geo,impressions,viewable_impressions,measurable_impressions
2026-04-01,PL-001,DEAL-MB-2026Q2,desktop,US,5571,4364,5384
2026-04-01,PL-001,DEAL-MB-2026Q2,desktop,CA,1072,794,1053
2026-04-01,PL-001,DEAL-MB-2026Q2,desktop,UK,1076,748,1057
2026-04-01,PL-001,DEAL-MB-2026Q2,mobile,US,5472,4299,5299
2026-04-01,PL-001,DEAL-MB-2026Q2,mobile,CA,1223,846,1154
2026-04-01,PL-001,DEAL-MB-2026Q2,mobile,UK,1245,929,1189
2026-04-01,PL-001,DEAL-MB-2026Q2,tablet,US,1173,888,1121
2026-04-01,PL-001,DEAL-MB-2026Q2,tablet,CA,251,176,244
2026-04-01,PL-001,DEAL-MB-2026Q2,tablet,UK,264,207,260
2026-04-01,PL-002,DEAL-MB-2026Q2,desktop,US,4077,3096,4035
2026-04-01,PL-002,DEAL-MB-2026Q2,desktop,CA,792,539,754
2026-04-01,PL-002,DEAL-MB-2026Q2,desktop,UK,974,728,958
2026-04-01,PL-002,DEAL-MB-2026Q2,mobile,US,3989,2696,3915
2026-04-01,PL-002,DEAL-MB-2026Q2,mobile,CA,925,667,915
2026-04-01,PL-002,DEAL-MB-2026Q2,mobile,UK,915,604,897
2026-04-01,PL-002,DEAL-MB-2026Q2,tablet,US,871,632,859
2026-04-01,PL-002,DEAL-MB-2026Q2,tablet,CA,178,119,168
2026-04-01,PL-002,DEAL-MB-2026Q2,tablet,UK,198,136,192
2026-04-01,PL-003,DEAL-MB-2026Q2,desktop,US,5722,4815,5622
2026-04-01,PL-003,DEAL-MB-2026Q2,desktop,CA,1275,1009,1256
2026-04-01,PL-003,DEAL-MB-2026Q2,desktop,UK,1136,949,1114
2026-04-01,PL-003,DEAL-MB-2026Q2,mobile,US,5295,4240,5011
2026-04-01,PL-003,DEAL-MB-2026Q2,mobile,CA,1420,1109,1366
2026-04-01,PL-003,DEAL-MB-2026Q2,mobile,UK,1337,1105,1264
2026-04-01,PL-003,DEAL-MB-2026Q2,tablet,US,1462,1230,1385
2026-04-01,PL-003,DEAL-MB-2026Q2,tablet,CA,251,202,242
2026-04-01,PL-003,DEAL-MB-2026Q2,tablet,UK,278,213,266
2026-04-01,PL-004,DEAL-MB-2026Q2,desktop,US,4599,2868,4380
2026-04-01,PL-004,DEAL-MB-2026Q2,desktop,CA,813,549,800
2026-04-01,PL-004,DEAL-MB-2026Q2,desktop,UK,879,581,833
2026-04-01,PL-004,DEAL-MB-2026Q2,mobile,US,4630,3163,4578
2026-04-01,PL-004,DEAL-MB-2026Q2,mobile,CA,966,661,909
2026-04-01,PL-004,DEAL-MB-2026Q2,mobile,UK,950,602,937
2026-04-01,PL-004,DEAL-MB-2026Q2,tablet,US,1000,683,980
2026-04-01,PL-004,DEAL-MB-2026Q2,tablet,CA,188,127,177
2026-04-01,PL-004,DEAL-MB-2026Q2,tablet,UK,217,148,206
2026-04-01,PL-005,DEAL-MB-2026Q2,desktop,US,5091,3670,5007
2026-04-01,PL-005,DEAL-MB-2026Q2,desktop,CA,1056,744,1013
2026-04-01,PL-005,DEAL-MB-2026Q2,desktop,UK,1071,694,1048
2026-04-01,PL-005,DEAL-MB-2026Q2,mobile,US,5093,3518,4960
2026-04-01,PL-005,DEAL-MB-2026Q2,mobile,CA,1225,825,1153
2026-04-01,PL-005,DEAL-MB-2026Q2,mobile,UK,1234,822,1195
2026-04-01,PL-005,DEAL-MB-2026Q2,tablet,US,1310,845,1270
2026-04-01,PL-005,DEAL-MB-2026Q2,tablet,CA,242,173,232
2026-04-01,PL-005,DEAL-MB-2026Q2,tablet,UK,280,182,275
2026-04-01,PL-006,DEAL-MB-2026Q2,desktop,US,4315,3108,4056
