date,publisher_id,ad_unit_id,deal_id,device,geo,delivered_impressions,ad_server_clicks,viewable_impressions,measurable_impressions
2026-04-01,PDM-001,AU-101,DEAL-1001,mobile,US,12024,23,8608,11148
2026-04-01,PDM-001,AU-105,DEAL-1002,mobile,US,11164,50,6273,10291
2026-04-01,PDM-001,AU-107,DEAL-1003,desktop,DE,21809,154,12688,21222
2026-04-01,PDM-001,AU-108,DEAL-1003,mobile,US,15029,24,11201,13928
2026-04-01,PDM-001,AU-101,DEAL-1007,desktop,US,9967,69,6490,9774
2026-04-01,PDM-001,AU-106,DEAL-1008,mobile,US,10865,31,7971,10708
2026-04-01,PDM-001,AU-114,DEAL-1009,mobile,US,9354,34,6865,9253
2026-04-01,PDM-001,AU-111,DEAL-1010,desktop,US,3551,10,2764,3319
2026-04-01,PDM-001,AU-113,DEAL-1011,desktop,US,18858,79,11043,17699
2026-04-01,PDM-001,AU-103,DEAL-1012,desktop,US,21655,82,17201,20255
2026-04-01,PDM-001,AU-106,DEAL-1013,desktop,US,4043,21,2668,3943
2026-04-01,PDM-001,AU-106,DEAL-1013,mobile,US,23526,110,18785,23243
2026-04-01,PDM-001,AU-104,DEAL-1014,desktop,US,6253,39,3970,6089
2026-04-01,PDM-001,AU-104,DEAL-1014,mobile,US,18867,144,11645,18514
2026-04-01,PDM-001,AU-101,DEAL-1015,mobile,US,24489,168,14266,23400
2026-04-01,PDM-001,AU-105,DEAL-1016,mobile,US,4018,13,3067,3702
2026-04-01,PDM-001,AU-108,DEAL-1017,desktop,US,4398,21,3132,4070
2026-04-01,PDM-001,AU-107,DEAL-1018,desktop,US,18074,51,12002,17731
2026-04-01,PDM-001,AU-107,DEAL-1018,mobile,US,27918,67,22310,26293
2026-04-01,PDM-001,AU-102,DEAL-1020,mobile,US,6098,6,4247,5846
2026-04-01,PDM-001,AU-114,DEAL-1021,desktop,US,4429,32,2479,4341
2026-04-01,PDM-001,AU-114,DEAL-1021,mobile,US,11020,21,7833,10860
2026-04-01,PDM-001,AU-109,DEAL-1023,mobile,US,25593,89,19647,24282
2026-04-01,PDM-001,AU-103,DEAL-1024,desktop,US,5724,34,3255,5586
2026-04-01,PDM-001,AU-103,DEAL-1024,mobile,US,18700,73,10978,17568
2026-04-02,PDM-001,AU-101,DEAL-1001,desktop,UK,20213,151,11875,19796
2026-04-02,PDM-001,AU-105,DEAL-1002,mobile,US,5921,21,3686,5855
2026-04-02,PDM-001,AU-109,DEAL-1004,mobile,US,11133,56,8258,10664
2026-04-02,PDM-001,AU-109,DEAL-1004,desktop,FR,21642,160,11746,20715
2026-04-02,PDM-001,AU-103,DEAL-1005,desktop,UK,4726,12,3584,4387
2026-04-02,PDM-001,AU-110,DEAL-1005,desktop,US,21981,34,15279,21234
2026-04-02,PDM-001,AU-110,DEAL-1005,mobile,US,10693,64,6698,10016
2026-04-02,PDM-001,AU-112,DEAL-1006,mobile,US,6377,26,5357,6312
2026-04-02,PDM-001,AU-112,DEAL-1006,desktop,DE,9484,18,5110,8956
2026-04-02,PDM-001,AU-101,DEAL-1007,desktop,US,11838,80,8415,11473
2026-04-02,PDM-001,AU-106,DEAL-1008,mobile,US,13810,23,8530,13554
2026-04-02,PDM-001,AU-102,DEAL-1009,desktop,US,11732,70,8113,10960
2026-04-02,PDM-001,AU-102,DEAL-1009,mobile,US,12228,16,9419,11792
2026-04-02,PDM-001,AU-104,DEAL-1010,desktop,US,13429,105,8535,12506
2026-04-02,PDM-001,AU-111,DEAL-1010,mobile,US,21877,149,12493,21018
2026-04-02,PDM-001,AU-113,DEAL-1011,desktop,US,12601,98,7643,11628
2026-04-02,PDM-001,AU-101,DEAL-1015,mobile,US,9801,11,6186,9522
2026-04-02,PDM-001,AU-108,DEAL-1017,desktop,US,6042,7,3511,5757
2026-04-02,PDM-001,AU-111,DEAL-1017,desktop,US,9957,55,5979,9438
2026-04-02,PDM-001,AU-111,DEAL-1017,mobile,US,15506,70,12048,15003
2026-04-02,PDM-001,AU-107,DEAL-1018,desktop,US,3404,26,2662,3174
2026-04-02,PDM-001,AU-107,DEAL-1018,mobile,US,23548,80,15633,22960
2026-04-02,PDM-001,AU-113,DEAL-1019,mobile,US,10228,13,6862,9721
2026-04-02,PDM-001,AU-110,DEAL-1022,desktop,US,16632,123,12003,16026
2026-04-02,PDM-001,AU-110,DEAL-1022,mobile,US,20617,116,14756,19438
2026-04-02,PDM-001,AU-109,DEAL-1023,mobile,US,26194,191,16152,25227
2026-04-02,PDM-001,AU-103,DEAL-1024,mobile,US,10887,70,6775,10478
2026-04-03,PDM-001,AU-107,DEAL-1003,desktop,US,13483,103,8120,12626
2026-04-03,PDM-001,AU-107,DEAL-1003,desktop,DE,4014,21,2683,3908
2026-04-03,PDM-001,AU-109,DEAL-1004,desktop,FR,2681,10,2092,2499
2026-04-03,PDM-001,AU-103,DEAL-1005,mobile,US,7976,15,5388,7597
2026-04-03,PDM-001,AU-110,DEAL-1005,desktop,US,17002,102,12980,16242
2026-04-03,PDM-001,AU-101,DEAL-1007,desktop,US,10601,67,7482,10139
2026-04-03,PDM-001,AU-101,DEAL-1007,mobile,US,27381,72,21129,25834
2026-04-03,PDM-001,AU-106,DEAL-1008,desktop,US,7442,43,4106,7214
2026-04-03,PDM-001,AU-102,DEAL-1009,desktop,US,16267,82,12716,15757
2026-04-03,PDM-001,AU-104,DEAL-1010,mobile,US,13784,51,10842,13541
2026-04-03,PDM-001,AU-103,DEAL-1012,mobile,US,4951,16,3215,4790
2026-04-03,PDM-001,AU-106,DEAL-1013,desktop,US,17815,84,12746,17520
2026-04-03,PDM-001,AU-104,DEAL-1014,desktop,US,16544,70,10140,15278
2026-04-03,PDM-001,AU-104,DEAL-1014,mobile,US,15059,107,11817,14147
2026-04-03,PDM-001,AU-112,DEAL-1016,desktop,US,13967,20,7748,13785
2026-04-03,PDM-001,AU-112,DEAL-1016,mobile,US,10532,12,5761,9801
2026-04-03,PDM-001,AU-111,DEAL-1017,desktop,US,10896,57,8236,10759
2026-04-03,PDM-001,AU-107,DEAL-1018,desktop,US,12692,14,9003,11953
2026-04-03,PDM-001,AU-102,DEAL-1020,desktop,US,10457,67,7477,10242
2026-04-03,PDM-001,AU-102,DEAL-1020,mobile,US,5345,25,2947,5164
2026-04-03,PDM-001,AU-114,DEAL-1021,mobile,US,20062,80,15503,18965
2026-04-03,PDM-001,AU-110,DEAL-1022,mobile,US,21096,60,14656,20601
2026-04-03,PDM-001,AU-103,DEAL-1024,mobile,US,6839,49,4417,6408
2026-04-04,PDM-001,AU-101,DEAL-1001,desktop,US,7790,51,5985,7352
2026-04-04,PDM-001,AU-101,DEAL-1001,desktop,UK,1606,9,1191,1532
2026-04-04,PDM-001,AU-107,DEAL-1003,desktop,DE,5843,32,3956,5526
2026-04-04,PDM-001,AU-108,DEAL-1003,desktop,US,14180,41,7793,13295
2026-04-04,PDM-001,AU-108,DEAL-1003,mobile,US,14833,34,9122,14413
2026-04-04,PDM-001,AU-103,DEAL-1005,mobile,US,5461,25,4319,5128
2026-04-04,PDM-001,AU-110,DEAL-1005,mobile,US,4066,12,2527,3876
2026-04-04,PDM-001,AU-112,DEAL-1006,mobile,US,4357,19,3162,4184
2026-04-04,PDM-001,AU-112,DEAL-1006,desktop,DE,15681,28,11172,15265
2026-04-04,PDM-001,AU-101,DEAL-1007,mobile,US,12046,37,7857,11578
2026-04-04,PDM-001,AU-106,DEAL-1008,mobile,US,6400,35,3587,5958
2026-04-04,PDM-001,AU-102,DEAL-1009,mobile,US,14843,109,8293,14514
2026-04-04,PDM-001,AU-114,DEAL-1009,desktop,US,1779,7,1043,1640
2026-04-04,PDM-001,AU-114,DEAL-1009,mobile,US,3778,10,2678,3685
2026-04-04,PDM-001,AU-104,DEAL-1010,desktop,US,8992,66,5904,8549
2026-04-04,PDM-001,AU-104,DEAL-1010,mobile,US,8501,34,6678,8176
2026-04-04,PDM-001,AU-113,DEAL-1011,desktop,US,7221,36,5185,6653
2026-04-04,PDM-001,AU-106,DEAL-1013,desktop,US,14301,32,10175,13742
2026-04-04,PDM-001,AU-104,DEAL-1014,desktop,US,8538,14,5354,7951
2026-04-04,PDM-001,AU-105,DEAL-1016,mobile,US,8793,68,5873,8338
2026-04-04,PDM-001,AU-111,DEAL-1017,desktop,US,9325,38,5426,8612
2026-04-04,PDM-001,AU-111,DEAL-1017,mobile,US,11875,14,9041,11448
2026-04-04,PDM-001,AU-107,DEAL-1018,mobile,US,12564,99,8509,12361
2026-04-04,PDM-001,AU-113,DEAL-1019,desktop,US,4590,27,3026,4356
2026-04-04,PDM-001,AU-102,DEAL-1020,mobile,US,16530,32,11952,15288
